character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
勉,mian3,9,16539,21031,-0.120,10190,4337,5106,9044,7044,1854,31.745,21.156,24.431,43.691,41.929,20.600,30.592,4.500,29.262,4.519,3.8750,3.8,3.4
冕,mian3,11,9212,4935,0.302,322,339,1017,4178,5491,2805,1.003,1.654,4.866,20.184,32.685,31.167,15.260,4.789,3.537,5.343,4.1250,3.8,3.6
面,mian4,9,292,2139,-0.760,1340,286,293,252,190,70,4.174,1.395,1.402,1.217,1.131,0.778,1.683,5.571,2485.192,2.604,2.3125,2.8,2.7
苗,miao2,8,126942,737980,-0.706,105589,66622,82614,246640,282660,79993,328.938,324.985,395.282,1191.498,1682.500,888.811,802.002,3.095,116.018,3.932,3.8125,3.4,3.2
淼,miao3,12,226798,220289,0.015,38821,23772,43467,101664,117719,121477,120.938,115.961,207.976,491.130,700.708,1349.744,497.743,3.302,0.000,6.000,4.1875,3.4,3.5
渺,miao3,12,2404,4916,-0.343,161,165,461,1708,2928,1893,0.502,0.805,2.206,8.251,17.429,21.033,8.371,5.028,10.676,4.933,2.8750,3.3,3.1
藐,miao3,17,179,455,-0.435,6,20,62,133,228,185,0.019,0.098,0.297,0.643,1.357,2.056,0.745,5.758,2.122,5.506,2.3750,2.8,3.1
邈,miao3,17,1813,2102,-0.074,37,51,193,897,1522,1219,0.115,0.249,0.923,4.333,9.060,13.544,4.704,5.244,1.158,5.666,3.5000,3.2,3.6
妙,miao4,7,61858,459569,-0.763,144182,85249,80309,98674,82316,31103,449.165,415.849,384.254,476.686,489.976,345.589,426.920,3.369,79.682,4.093,3.9375,3.5,3.1
民,min2,5,4816283,455642,0.827,1924673,1477370,1074207,426329,255502,112081,5995.866,7206.683,5139.746,2059.560,1520.845,1245.344,3861.341,2.413,2115.401,2.674,3.5000,3.5,3.1
旻,min2,8,35106,26911,0.132,943,3205,10293,16182,17181,14250,2.938,15.634,49.249,78.174,102.268,158.333,67.766,4.163,0.000,6.000,4.0000,3.2,3.5
珉,min2,9,17253,10806,0.230,5434,2987,3873,5355,5406,5008,16.928,14.571,18.531,25.870,32.179,55.644,27.287,4.548,0.000,6.000,3.8125,3.6,3.5
闵,min3,7,3430,5047,-0.191,349,480,906,2364,2526,1860,1.087,2.341,4.335,11.420,15.036,20.667,9.148,4.994,2.765,5.424,3.4375,3.1,3.3
泯,min3,8,1648,753,0.373,93,96,151,412,569,1079,0.290,0.468,0.722,1.990,3.387,11.989,3.141,5.383,3.473,5.349,2.3750,2.7,2.7
闽,min3,9,20087,11931,0.255,3603,5464,4773,6491,6680,5060,11.224,26.654,22.837,31.357,39.762,56.222,31.343,4.490,12.605,4.866,2.8125,3.2,3.2
敏,min3,11,2069644,7372862,-0.562,1327803,1396812,1894215,2323579,1903550,592572,4136.458,6813.717,9063.230,11225.019,11330.655,6584.133,8192.202,2.087,76.788,4.109,4.0000,3.7,3.9
名,ming2,6,345669,96618,0.563,134584,62408,58923,60855,66254,59075,419.265,304.429,281.928,293.986,394.369,656.389,391.728,3.406,742.220,3.129,3.4375,3.3,3.3
明,ming2,8,22039064,6200273,0.561,9190325,6024434,5072779,4147906,2722711,1081722,28630.296,29387.483,24271.670,20038.193,16206.613,12019.133,21758.898,1.662,1576.791,2.802,4.2500,3.7,3.3
鸣,ming2,8,419738,167644,0.429,129259,62768,60444,93243,116295,125593,402.676,306.185,289.206,450.449,692.232,1395.478,589.371,3.229,63.926,4.188,3.8125,3.4,3.5
茗,ming2,9,27942,50186,-0.285,2756,2299,4737,10103,22023,36276,8.586,11.215,22.665,48.807,131.089,403.067,104.238,3.978,1.029,5.693,3.7500,3.7,3.5
铭,ming2,11,1141720,285259,0.600,180268,99609,119535,201596,393691,432179,561.583,485.898,571.938,973.894,2343.399,4801.989,1623.117,2.789,13.312,4.844,4.0000,3.4,3.6
溟,ming2,13,1201,399,0.501,68,230,441,324,250,288,0.212,1.122,2.110,1.565,1.488,3.200,1.616,5.582,0.450,5.839,2.6875,2.6,3.3
缪,miu4,14,513,396,0.129,46,35,54,175,280,318,0.143,0.171,0.258,0.845,1.667,3.533,1.103,5.677,3.023,5.395,2.5000,2.9,3.2
谟,mo2,12,1890,102,0.898,961,257,200,235,193,146,2.994,1.254,0.957,1.135,1.149,1.622,1.519,5.599,3.537,5.343,2.8125,2.8,3.2
模,mo2,14,50365,5727,0.796,35048,9148,6004,3198,2146,690,109.184,44.624,28.727,15.449,12.774,7.667,36.404,4.427,297.505,3.525,2.8750,2.5,2.8
磨,mo2,16,611,146,0.614,295,85,71,139,139,28,0.919,0.415,0.340,0.671,0.827,0.311,0.581,5.801,84.827,4.066,1.8750,2.7,2.7
末,mo4,5,2939,4812,-0.242,1882,1149,1184,1173,1578,781,5.863,5.605,5.665,5.667,9.393,8.678,6.812,5.107,157.113,3.801,1.9375,2.6,2.2
茉,mo4,8,225,12347,-0.964,1493,1003,1796,3713,2332,2251,4.651,4.893,8.593,17.937,13.881,25.011,12.494,4.870,2.830,5.417,3.5625,3.5,3.0
沫,mo4,8,6131,10721,-0.272,876,793,1526,4645,4792,4234,2.729,3.868,7.301,22.440,28.524,47.044,18.651,4.707,21.416,4.649,2.9375,2.8,3.0
陌,mo4,8,584,707,-0.095,56,36,52,188,312,647,0.174,0.176,0.249,0.908,1.857,7.189,1.759,5.559,19.872,4.680,2.6250,2.2,2.9
莫,mo4,10,7614,12969,-0.260,4277,2392,2299,3008,3878,4723,13.324,11.668,11.000,14.531,23.083,52.478,21.014,4.657,112.481,3.945,3.2500,2.6,2.9
秣,mo4,10,50,15,0.538,6,5,4,10,13,27,0.019,0.024,0.019,0.048,0.077,0.300,0.081,5.966,0.386,5.858,2.6875,2.8,3.4
蓦,mo4,13,190,192,-0.005,2,6,12,49,80,233,0.006,0.029,0.057,0.237,0.476,2.589,0.566,5.805,6.560,5.121,3.0625,2.8,3.0
漠,mo4,13,2258,1107,0.342,348,149,232,588,867,1185,1.084,0.727,1.110,2.841,5.161,13.167,4.015,5.300,45.918,4.329,2.4375,2.6,3.0
墨,mo4,15,41071,35699,0.070,17662,4947,3824,7381,11586,31380,55.022,24.132,18.297,35.657,68.964,348.667,91.790,4.032,62.768,4.195,3.5625,3.1,3.2
默,mo4,16,20917,18332,0.066,2118,1366,2616,8599,10431,14172,6.598,6.663,12.517,41.541,62.089,157.467,47.813,4.311,118.719,3.922,3.5625,3.0,3.1
牟,mou2,6,389,146,0.454,38,41,39,135,181,103,0.118,0.200,0.187,0.652,1.077,1.144,0.563,5.806,5.917,5.160,3.0625,2.5,3.1
眸,mou2,11,151,212,-0.168,11,18,28,90,135,71,0.034,0.088,0.134,0.435,0.804,0.789,0.381,5.860,5.466,5.189,3.0000,2.7,2.7
谋,mou2,11,102055,7268,0.867,39656,18041,17803,15777,12774,5223,123.539,88.005,85.182,76.217,76.036,58.033,84.502,4.068,89.522,4.043,3.0000,3.2,3.4
母,mu3,5,1071,2463,-0.394,1153,409,512,629,594,237,3.592,1.995,2.450,3.039,3.536,2.633,2.874,5.412,347.218,3.458,2.6250,2.9,2.6
亩,mu3,7,363,248,0.188,219,75,75,116,88,38,0.682,0.366,0.359,0.560,0.524,0.422,0.486,5.828,61.675,4.203,2.5625,2.7,2.6
姆,mu3,8,585,34625,-0.967,8168,3878,4891,5820,6847,5609,25.445,18.917,23.402,28.116,40.756,62.322,33.160,4.466,40.452,4.382,2.5000,2.6,2.6
木,mu4,4,805962,415916,0.319,577199,239784,170371,128899,79889,27307,1798.128,1169.678,815.172,622.700,475.530,303.411,864.103,3.063,329.597,3.481,3.1875,2.9,2.8
目,mu4,5,3067,2582,0.086,2650,932,757,614,509,187,8.255,4.546,3.622,2.966,3.030,2.078,4.083,5.294,834.764,3.078,3.1875,2.9,2.7
沐,mu4,7,32265,18631,0.268,7235,2828,3042,5662,11947,20239,22.539,13.795,14.555,27.353,71.113,224.878,62.372,4.198,6.367,5.133,3.6875,3.7,3.2
牧,mu4,8,23517,11269,0.352,2550,2184,3112,6839,10342,9734,7.944,10.654,14.890,33.039,61.560,108.156,39.374,4.394,74.923,4.120,3.5000,3.1,3.5
睦,mu4,13,7130,1610,0.632,1841,879,752,1098,1315,2833,5.735,4.288,3.598,5.304,7.827,31.478,9.705,4.970,7.267,5.083,3.8125,3.9,3.6
慕,mu4,14,21083,50563,-0.411,23304,6450,7421,9927,13777,10805,72.598,31.463,35.507,47.957,82.006,120.056,64.931,4.181,28.747,4.527,3.9375,3.6,3.6
穆,mu4,16,6117,4666,0.135,1930,1086,1272,2104,2382,1989,6.012,5.298,6.086,10.164,14.179,22.100,10.640,4.934,28.168,4.535,3.6250,3.3,3.4
拿,na2,10,753,1082,-0.179,344,101,136,550,532,172,1.072,0.493,0.651,2.657,3.167,1.911,1.659,5.575,312.233,3.504,2.3125,2.4,2.6
那,na4,6,3076,12418,-0.603,1864,1108,1715,5826,4056,937,5.807,5.405,8.206,28.145,24.143,10.411,13.686,4.833,2482.427,2.605,2.5625,2.6,2.7
纳,na4,7,11073,51184,-0.644,2211,5231,10034,28003,12497,4252,6.888,25.517,48.010,135.280,74.387,47.244,56.221,4.242,148.495,3.825,3.0625,2.7,2.9
娜,na4,9,12873,3982167,-0.994,124158,131959,528005,1827669,1055394,327124,386.785,643.702,2526.340,8829.319,6282.107,3634.711,3717.161,2.430,30.162,4.506,4.0000,3.4,3.0
乃,nai3,2,450378,203869,0.377,288702,140099,99922,63521,43569,18921,899.383,683.410,478.096,306.865,259.339,210.233,472.888,3.324,78.782,4.098,2.7500,2.7,3.0
鼐,nai4,14,570,82,0.748,100,33,111,215,147,46,0.312,0.161,0.531,1.039,0.875,0.511,0.572,5.804,0.000,6.000,3.0625,3.1,3.3
囡,nan1,6,2530,50263,-0.904,22382,5538,5567,10022,7378,1941,69.726,27.015,26.636,48.415,43.917,21.567,39.546,4.392,1.608,5.584,2.9375,3.3,2.6
男,nan2,7,268146,400046,-0.197,46864,27982,34519,165539,296490,97677,145.994,136.498,165.163,799.705,1764.821,1085.300,682.914,3.165,244.834,3.609,3.1875,2.2,2.9
南,nan2,9,1098412,586587,0.304,533126,245976,190264,306472,308711,99848,1660.829,1199.883,910.354,1480.541,1837.565,1109.422,1366.432,2.864,645.238,3.190,3.5000,3.0,3.0
楠,nan2,13,612305,1041097,-0.259,18862,16745,52097,438351,697995,428873,58.760,81.683,249.268,2117.638,4154.732,4765.256,1904.556,2.720,6.174,5.144,4.1250,3.4,3.3
讷,ne4,6,329,1585,-0.656,126,32,130,441,874,311,0.393,0.156,0.622,2.130,5.202,3.456,1.993,5.524,2.251,5.488,2.0625,3.0,2.7
嫩,nen4,14,1815,17128,-0.808,10468,3312,2406,1672,828,257,32.611,16.156,11.512,8.077,4.929,2.856,12.690,4.864,31.384,4.490,2.5000,2.8,2.4
能,neng2,10,657953,147708,0.633,248715,160128,153136,123755,88671,30924,774.813,781.112,732.708,597.850,527.804,343.600,626.315,3.203,3495.656,2.456,3.6250,3.2,3.6
妮,ni1,8,21468,1585779,-0.973,358401,125672,205385,364517,362613,188373,1116.514,613.034,982.703,1760.952,2158.411,2093.033,1454.108,2.837,16.721,4.752,3.7500,3.4,2.8
尼,ni2,5,8318,14859,-0.282,4232,2558,3974,5499,4669,2216,13.184,12.478,19.014,26.565,27.792,24.622,20.609,4.665,129.974,3.883,3.0625,2.9,2.8
泥,ni2,8,903,2648,-0.491,420,274,405,894,1079,486,1.308,1.337,1.938,4.319,6.423,5.400,3.454,5.351,114.089,3.939,1.8750,2.2,2.2
倪,ni2,10,5174,13358,-0.442,1361,581,955,2661,5302,7671,4.240,2.834,4.569,12.855,31.560,85.233,23.549,4.610,7.846,5.053,3.3750,3.0,3.3
霓,ni2,16,1801,24351,-0.862,1687,1882,2854,4652,7570,7520,5.255,9.180,13.656,22.473,45.060,83.556,29.863,4.511,3.859,5.313,3.8125,3.3,3.3
旎,ni3,11,217,17832,-0.976,30,108,989,4827,7475,4622,0.093,0.527,4.732,23.319,44.494,51.356,20.754,4.662,0.643,5.784,4.1250,3.3,3.0
年,nian2,6,863688,407692,0.359,618789,285978,190967,97591,55135,23451,1927.692,1395.015,913.718,471.454,328.185,260.567,882.772,3.054,3051.006,2.515,3.1875,3.1,2.8
念,nian4,8,200088,157334,0.120,74853,48031,55453,71268,73429,34525,233.187,234.298,265.325,344.290,437.077,383.611,316.298,3.499,386.384,3.412,3.3750,3.2,3.2
鸟,niao3,5,1091,8799,-0.779,3071,1662,2162,2066,951,178,9.567,8.107,10.344,9.981,5.661,1.978,7.606,5.065,112.867,3.944,2.1875,1.8,2.2
捏,nie1,10,0,1,-1.000,0,1,0,0,0,0,0.000,0.005,0.000,0.000,0.000,0.000,0.001,6.000,20.515,4.667,1.8750,2.0,2.1
聂,nie4,10,2389,1590,0.201,516,318,511,1061,1102,471,1.607,1.551,2.445,5.126,6.560,5.233,3.754,5.323,10.997,4.921,3.3125,2.7,3.2
宁,ning2,5,1500949,1266859,0.085,186921,261520,433129,765408,723160,398177,582.308,1275.707,2072.388,3697.623,4304.524,4424.189,2726.123,2.564,166.117,3.777,4.0000,3.6,3.3
柠,ning2,9,6486,12752,-0.326,152,232,724,2574,5965,9606,0.474,1.132,3.464,12.435,35.506,106.733,26.624,4.559,3.151,5.382,3.2500,3.3,3.1
凝,ning2,16,5625,52769,-0.807,1566,1173,2996,7279,15619,29672,4.879,5.722,14.335,35.164,92.970,329.689,80.460,4.089,76.466,4.111,3.5000,3.0,3.1
甯,ning4,12,148,138,0.035,5,8,13,80,81,100,0.016,0.039,0.062,0.386,0.482,1.111,0.349,5.870,0.000,6.000,3.4375,3.3,3.5
泞,ning4,8,837,1078,-0.126,20,33,115,346,585,822,0.062,0.161,0.550,1.671,3.482,9.133,2.510,5.455,2.444,5.463,2.3750,2.5,2.9
妞,niu1,7,2277,119075,-0.962,37650,14411,13416,20494,28970,6509,117.290,70.298,64.191,99.005,172.440,72.322,99.258,3.999,2.830,5.417,2.5000,2.9,2.3
牛,niu2,4,113967,16524,0.747,61376,25965,18159,13391,9644,2296,191.202,126.659,86.885,64.691,57.405,25.511,92.059,4.031,234.094,3.629,3.1250,3.1,2.4
农,nong2,6,52374,10796,0.658,19297,20280,12484,4483,4729,1925,60.115,98.927,59.732,21.657,28.149,21.389,48.328,4.307,888.722,3.051,3.1250,2.6,2.6
浓,nong2,9,8925,33787,-0.582,14070,9380,7126,3997,5472,2742,43.832,45.756,34.096,19.309,32.571,30.467,34.339,4.452,108.043,3.962,2.8125,2.9,2.6
努,nu3,7,2748,5012,-0.292,1876,1229,1327,1647,1236,444,5.844,5.995,6.349,7.957,7.357,4.933,6.406,5.130,121.227,3.913,3.3125,3.1,3.3
弩,nu3,8,319,55,0.706,36,51,129,101,44,13,0.112,0.249,0.617,0.488,0.262,0.144,0.312,5.882,2.380,5.471,2.8750,2.6,3.2
暖,nuan3,13,10506,40028,-0.584,14448,7650,7994,9644,7665,3180,45.009,37.317,38.249,46.589,45.625,35.333,41.354,4.373,80.454,4.089,3.9375,3.9,2.8
挪,nuo2,9,588,2316,-0.595,982,380,277,653,507,105,3.059,1.854,1.325,3.155,3.018,1.167,2.263,5.486,16.142,4.766,2.3125,2.8,2.6
诺,nuo4,10,57053,126380,-0.378,6979,3360,4774,11210,29139,128002,21.741,16.390,22.842,54.155,173.446,1422.244,285.136,3.543,43.796,4.349,3.9375,3.9,3.7
女,nv3,3,10515,1047638,-0.980,586915,202292,132606,78055,49741,8372,1828.396,986.790,634.478,377.077,296.077,93.022,702.640,3.153,753.539,3.122,2.7500,2.7,2.5
讴,ou1,6,165,155,0.031,17,27,80,101,64,33,0.053,0.132,0.383,0.488,0.381,0.367,0.301,5.886,2.122,5.506,2.8750,2.9,2.7
欧,ou1,8,29435,21473,0.156,4409,4007,9206,17034,11523,4762,13.735,19.546,44.048,82.290,68.589,52.911,46.853,4.320,175.828,3.752,3.4375,2.9,3.0
鸥,ou1,9,14845,25045,-0.256,2403,3894,8995,14612,7068,2913,7.486,18.995,43.038,70.589,42.071,32.367,35.758,4.435,7.524,5.069,3.6250,2.9,3.0
偶,ou3,11,529,2649,-0.667,1671,521,343,372,205,69,5.206,2.541,1.641,1.797,1.220,0.767,2.195,5.496,81.611,4.083,2.8125,2.9,2.9
排,pai2,11,2637,2215,0.087,1468,831,1086,897,449,120,4.573,4.054,5.196,4.333,2.673,1.333,3.694,5.328,357.572,3.445,2.3125,2.8,2.8
牌,pai2,12,747,259,0.485,195,69,61,211,364,106,0.607,0.337,0.292,1.019,2.167,1.178,0.933,5.714,94.988,4.018,2.2500,2.8,2.9
湃,pai4,12,5461,1110,0.662,192,292,721,1714,2281,1382,0.598,1.424,3.450,8.280,13.577,15.356,7.114,5.091,8.682,5.014,3.5000,3.1,3.4
潘,pan1,15,36655,21209,0.267,5819,2842,3737,16006,21968,7474,18.128,13.863,17.880,77.324,130.762,83.044,56.834,4.238,30.226,4.505,3.3750,3.1,2.9
攀,pan1,19,251040,55754,0.637,4963,5131,26769,116973,122603,30206,15.461,25.029,128.081,565.087,729.780,335.622,299.843,3.522,26.947,4.554,3.5000,2.6,3.1
盘,pan2,11,18421,14104,0.133,15673,5597,3598,4098,2906,649,48.826,27.302,17.215,19.797,17.298,7.211,22.942,4.621,126.115,3.896,2.9375,2.6,2.8
磐,pan2,15,2236,312,0.755,231,142,306,764,769,336,0.720,0.693,1.464,3.691,4.577,3.733,2.480,5.458,1.222,5.653,3.6875,3.1,3.3
泮,pan4,8,1110,854,0.130,486,74,73,716,458,157,1.514,0.361,0.349,3.459,2.726,1.744,1.692,5.570,1.672,5.573,3.1250,2.9,3.0
盼,pan4,9,149784,407861,-0.463,10759,8113,9977,202407,270925,55419,33.517,39.576,47.737,977.812,1612.649,615.767,554.510,3.255,29.969,4.509,3.3750,3.4,3.3
畔,pan4,10,2956,4391,-0.195,725,208,327,3278,2322,505,2.259,1.015,1.565,15.836,13.821,5.611,6.685,5.114,14.534,4.809,3.0625,2.9,3.2
庞,pang2,8,3431,390,0.796,307,242,575,1003,1043,651,0.956,1.180,2.751,4.845,6.208,7.233,3.862,5.313,32.413,4.476,3.4375,3.1,3.1
胖,pang4,9,17201,22323,-0.130,19644,5001,3994,5007,4895,451,61.196,24.395,19.110,24.188,29.137,5.011,27.173,4.550,46.690,4.322,1.7500,2.5,2.1
跑,pao3,12,1063,419,0.435,375,96,124,400,435,49,1.168,0.468,0.593,1.932,2.589,0.544,1.216,5.654,252.037,3.597,2.2500,2.4,2.6
炮,pao4,9,2151,180,0.846,1055,453,324,298,167,35,3.287,2.210,1.550,1.440,0.994,0.389,1.645,5.578,92.673,4.028,2.0625,2.4,2.6
培,pei2,11,2099553,1181216,0.280,1196871,577797,437333,521490,375556,171977,3728.570,2818.522,2092.502,2519.275,2235.452,1910.856,2550.863,2.593,226.312,3.643,3.8125,3.2,3.1
裴,pei2,14,3663,6457,-0.276,415,345,740,4154,3291,1172,1.293,1.683,3.541,20.068,19.589,13.022,9.866,4.964,8.296,5.032,3.5625,3.3,3.4
沛,pei4,7,334599,172876,0.319,145135,59353,50509,76888,98875,76544,452.134,289.527,241.670,371.440,588.542,850.489,465.634,3.331,10.611,4.935,3.8125,3.7,3.6
佩,pei4,8,250435,915819,-0.571,366081,153049,111050,193127,245459,97962,1140.439,746.580,531.340,932.981,1461.065,1088.467,983.479,3.007,35.436,4.438,4.0000,3.5,3.5
配,pei4,10,12974,24935,-0.316,11366,5112,4007,9461,6960,1070,35.408,24.937,19.172,45.705,41.429,11.889,29.757,4.512,344.003,3.462,2.7500,2.8,3.0
霈,pei4,15,3467,3740,-0.038,288,214,392,1224,2258,2830,0.897,1.044,1.876,5.913,13.440,31.444,9.102,4.996,0.000,6.000,3.9375,3.6,3.4
芃,peng2,6,15174,11140,0.153,840,1165,1883,3736,7815,10870,2.617,5.683,9.010,18.048,46.518,120.778,33.776,4.459,0.000,6.000,3.6875,3.7,3.2
朋,peng2,8,1321034,145751,0.801,226733,146238,203837,452522,359029,79206,706.333,713.356,975.297,2186.097,2137.077,880.067,1266.371,2.897,134.668,3.868,3.6875,3.7,3.5
彭,peng2,12,65692,17591,0.578,16173,5260,7411,20407,22416,11539,50.383,25.659,35.459,98.585,133.429,128.211,78.621,4.099,36.272,4.429,3.3750,3.2,3.2
棚,peng2,12,31320,1869,0.887,1273,1001,2311,8157,13426,7024,3.966,4.883,11.057,39.406,79.917,78.044,36.212,4.429,34.149,4.454,2.1875,2.7,2.8
蓬,peng2,13,29522,8092,0.570,3420,3718,7017,10729,8543,4191,10.654,18.137,33.574,51.831,50.851,46.567,35.269,4.440,30.291,4.505,3.2500,3.0,3.3
鹏,peng2,13,5494636,268187,0.907,203089,229880,615875,1673773,2108669,929416,632.676,1121.366,2946.770,8085.860,12551.601,10326.844,5944.186,2.226,17.107,4.742,4.3750,3.6,3.8
澎,peng2,15,39218,2765,0.868,1394,2608,4635,8904,11060,13402,4.343,12.722,22.177,43.014,65.833,148.911,49.500,4.297,5.917,5.160,3.6250,3.2,3.5
碰,peng4,13,1816,3036,-0.251,2274,827,479,540,634,96,7.084,4.034,2.292,2.609,3.774,1.067,3.477,5.349,90.937,4.037,1.8750,2.1,2.2
丕,pi1,5,101342,38819,0.446,66323,28724,21896,14284,6877,2178,206.614,140.117,104.766,69.005,40.935,24.200,97.606,4.006,1.801,5.553,2.6875,2.2,2.8
皮,pi2,5,1561,773,0.338,1036,302,271,263,311,151,3.227,1.473,1.297,1.271,1.851,1.678,1.800,5.553,318.600,3.495,2.4375,2.7,2.1
漂,piao1,14,1770,4731,-0.455,827,271,344,1218,2872,968,2.576,1.322,1.646,5.884,17.095,10.756,6.547,5.122,57.237,4.235,2.5000,2.7,2.7
飘,piao1,15,16215,43868,-0.460,2348,2351,3768,8999,31276,11390,7.315,11.468,18.029,43.473,186.167,126.556,65.501,4.177,65.276,4.179,2.8125,2.9,3.0
拼,pin1,9,1629,1109,0.190,174,140,183,703,1173,364,0.542,0.683,0.876,3.396,6.982,4.044,2.754,5.426,38.458,4.404,2.5000,2.6,3.0
姘,pin1,9,9,257,-0.932,46,10,15,80,93,24,0.143,0.049,0.072,0.386,0.554,0.267,0.245,5.905,1.222,5.653,2.0000,1.9,2.2
贫,pin2,8,404,380,0.031,173,186,143,146,113,23,0.539,0.907,0.684,0.705,0.673,0.256,0.627,5.789,96.210,4.012,1.4375,2.0,2.0
频,pin2,13,3283,6331,-0.317,1062,2040,2452,2388,1339,322,3.308,9.951,11.732,11.536,7.970,3.578,8.013,5.045,69.521,4.152,2.8125,2.8,3.0
嫔,pin2,13,68,7004,-0.981,288,442,1237,2627,1789,689,0.897,2.156,5.919,12.691,10.649,7.656,6.661,5.116,2.765,5.424,2.5625,2.6,2.4
品,pin3,9,374815,215684,0.269,247559,103255,89541,76639,48856,24828,771.212,503.683,428.426,370.237,290.810,275.867,440.039,3.356,1101.143,2.958,3.4375,3.2,3.4
娉,ping1,10,72,25809,-0.994,1081,1355,2875,8066,7903,4610,3.368,6.610,13.756,38.966,47.042,51.222,26.827,4.556,0.000,6.000,3.4375,3.4,3.3
平,ping2,5,11506827,8155650,0.170,4083392,5448207,5090986,3336837,1377397,327999,12720.847,26576.620,24358.785,16119.986,8198.792,3644.433,15269.911,1.816,1202.305,2.920,3.6875,3.3,3.1
评,ping2,7,3756,3245,0.073,999,1113,1322,1783,1246,546,3.112,5.429,6.325,8.614,7.417,6.067,6.161,5.145,223.354,3.649,2.8750,3.0,3.0
坪,ping2,8,21199,16415,0.127,4595,4876,6355,7636,7702,6526,14.315,23.785,30.407,36.889,45.845,72.511,37.292,4.417,14.856,4.800,2.8125,3.1,2.9
苹,ping2,8,18935,604840,-0.939,82254,141040,158538,148167,75114,18820,256.243,688.000,758.555,715.783,447.107,209.111,512.467,3.289,27.461,4.546,3.1875,3.2,3.1
凭,ping2,8,2827,1628,0.269,358,427,540,1755,1018,363,1.115,2.083,2.584,8.478,6.060,4.033,4.059,5.296,76.338,4.112,2.5625,2.6,2.9
枰,ping2,9,370,263,0.169,58,46,87,146,162,135,0.181,0.224,0.416,0.705,0.964,1.500,0.665,5.779,0.000,6.000,2.9375,2.9,2.9
屏,ping2,9,8728,65019,-0.763,26964,14475,13696,11278,6121,1409,84.000,70.610,65.531,54.483,36.435,15.656,54.453,4.256,52.221,4.274,3.1875,2.8,2.9
瓶,ping2,10,477,3800,-0.777,1018,715,748,1026,614,153,3.171,3.488,3.579,4.957,3.655,1.700,3.425,5.354,68.042,4.161,2.5625,2.5,2.4
萍,ping2,11,163805,8084222,-0.960,1145861,2018504,2030433,1667371,1047692,336068,3569.660,9846.361,9714.990,8054.932,6236.262,3734.089,6859.382,2.164,25.789,4.572,3.6875,3.5,3.1
坡,po1,8,185641,6923,0.928,45364,32837,43263,46005,20190,4886,141.321,160.180,207.000,222.246,120.179,54.289,150.869,3.819,81.547,4.083,2.3125,2.6,2.5
珀,po4,9,2584,1019,0.434,519,318,494,810,842,626,1.617,1.551,2.364,3.913,5.012,6.956,3.569,5.340,2.444,5.463,3.4375,3.0,3.2
莆,pu2,10,495,215,0.394,152,57,63,144,215,79,0.474,0.278,0.301,0.696,1.280,0.878,0.651,5.782,0.643,5.784,3.2500,2.9,3.2
菩,pu2,11,172,606,-0.558,35,27,36,281,296,99,0.109,0.132,0.172,1.357,1.762,1.100,0.772,5.752,10.804,4.928,3.4375,3.3,3.5
蒲,pu2,13,7797,15516,-0.331,9884,4302,2887,2552,2550,1159,30.791,20.985,13.813,12.329,15.179,12.878,17.663,4.729,16.721,4.752,3.4375,2.9,3.2
璞,pu2,16,52841,22736,0.398,16813,4794,6551,16525,19345,11416,52.377,23.385,31.344,79.831,115.149,126.844,71.488,4.140,1.415,5.617,4.1250,3.4,3.8
濮,pu2,17,1702,378,0.637,107,61,98,325,517,976,0.333,0.298,0.469,1.570,3.077,10.844,2.765,5.424,2.122,5.506,3.1250,3.1,3.2
朴,pu3,6,39247,12899,0.505,18254,7138,6400,7450,8104,4864,56.866,34.820,30.622,35.990,48.238,54.044,43.430,4.352,43.089,4.356,3.8750,3.4,3.5
埔,pu3,10,2227,266,0.787,371,145,178,444,661,697,1.156,0.707,0.852,2.145,3.935,7.744,2.757,5.425,15.563,4.781,3.1250,2.8,2.9
圃,pu3,10,1423,478,0.497,371,166,212,357,385,407,1.156,0.810,1.014,1.725,2.292,4.522,1.920,5.535,9.454,4.981,3.2500,2.8,2.9
浦,pu3,10,26127,4173,0.725,10462,3335,3202,4389,4975,3937,32.592,16.268,15.321,21.203,29.613,43.744,26.457,4.561,18.586,4.708,3.1250,3.1,3.2
普,pu3,12,313882,57953,0.688,157569,61350,50073,51786,36752,13956,490.869,299.268,239.584,250.174,218.762,155.067,275.621,3.558,276.154,3.557,3.1875,3.3,3.0
溥,pu3,13,6570,617,0.828,1033,247,374,1019,1912,2605,3.218,1.205,1.789,4.923,11.381,28.944,8.577,5.019,2.701,5.432,3.3125,3.1,3.3
谱,pu3,14,8369,1140,0.760,1733,616,789,2251,3042,1027,5.399,3.005,3.775,10.874,18.107,11.411,8.762,5.010,47.976,4.310,3.0625,2.9,3.0
瀑,pu4,18,473,137,0.551,31,42,95,193,170,76,0.097,0.205,0.455,0.932,1.012,0.844,0.591,5.798,9.904,4.962,2.5000,2.7,3.0
